;buyer;count;;
176;VÄSTTRAFIK AB,GOTEBORG,SE;163;;
177;VÄSTTRAFIK AB,GOTEBORG,SE;161;;
178;ICA KVANTUM HOVAS,HOVAS,SE;159;;
179;Däcklagning;159;;
180;VÄSTTRAFIK AB,GOTEBORG,SE;159;;
181;VÄSTTRAFIK AB,GOTEBORG,SE;158;;
182;MAXI ICA STORMARKNAD H,VASTRA FROLUN,SE;157;;
183;Skolkatalog;154;;
184;VÄSTTRAFIK AB,GOTEBORG,SE;154;;
185;VÄSTTRAFIK AB,GOTEBORG,SE;153;;
186;DUYTAN,Goteborg,SE;151;;
187;STORA COOP SISJÖN,ASKIM,SE; COMMONWEALTH OFFICE;150;
188;Västtrafik AB,Goteborg,SE;150;;
189;Västtrafik AB,Goteborg,SE;150;;
190;HERTZ SWEDEN FRANCHISE,DUBLIN,IE;148;;
191;IKEA-KALLERED,KALLERED,SE;148;;
192;BAUHAUS SISJON,VESTRA FROLUN,SE;148;;
193;K-RAUTA,MOLNDAL,SE;147;;
194;Nota Harvest by Mannerström;146;;
195;HEMGLASS GOTEBORG,VASTERAS,SE; SAFETY EXECUTIVE;145;
196;Västtrafik AB,Goteborg,SE;145;;
197;Västtrafik AB,Goteborg,SE;142;;
198;Microsoft*Store,msbill.info,IE;141;;
199;GOOGLE *Google,g.co/helppay#,GB;141;;
200;Västtrafik AB,Goteborg,SE;140;;
201;Västtrafik AB,Goteborg,SE;140;;
202;Mat;139;;
203;Västtrafik AB,Goteborg,SE;139;;
204;APOTEK HJARTAT KUNGSGA,GOTEBORG,SE;139;;
205;Västtrafik AB,Goteborg,SE;137;;
206;Västtrafik AB,Goteborg,SE;136;;
207;Västtrafik AB,Goteborg,SE;135;;
208;Västtrafik AB,Goteborg,SE; QUADRANT HOUSING TRUST LIMITED;134;
209;Västtrafik AB,Goteborg,SE;133;;
210;HARVEST BY MANNERSTROM,GOTEBORG,SE;132;;
211;CIRCLE K GOTEBORG MARK,GOTEBORG,SE;132;;
212;Västtrafik AB,Goteborg,SE;132;;
213;NRG PIZZA 225,JONKOPING,SE;132;;
214;ST1 VETLANDA,EKENÄSSJÖN,SE;131;;
215;SHELL BOTTNARYD,BOTTNARYD,SE;131;;
216;MCD 97 - BORAS,BORAS,SE;129;;
217;MCDONALDS HULTA,BORAS,SE;129;;
218;Västtrafik AB,Goteborg,SE;128;;
219;CIRCLE K GOTEBORG MARK,GOTEBORG,SE;128;;
220;CIRCLE K GOTEBORG MARK,GOTEBORG,SE;128;;
221;Västtrafik AB,Goteborg,SE;128;;
222;CIRCLE K NESSJO,NESSJO,SE;127;;
223;Fredrik Moberg;127;;
224;Västtrafik AB,Goteborg,SE;127;;
225;Västtrafik AB,Goteborg,SE;126;;
226;K*Coop.se;126;;
227;Västtrafik AB,Goteborg,SE;125;;
228;MR GATSBY PIZZERIA,Askim,SE;123;;
229;Västtrafik AB,Goteborg,SE;123;;
230;Västtrafik AB,Goteborg,SE;123;;
231;Västtrafik AB,Goteborg,SE;123;;
232;TAPETKLISTTER;123;;
233;BARN MOBIL; East Yorkshire Hospitals Nhs Trust;122;
234;MAT;122;;
235;HALLON.SE,Stockholm,SE;121;;
236;HALLON.SE,Stockholm,SE;121;;
237;MCDONALDS MOLND,MOLNDAL,SE;121;;
238;IKEA-KALLERED,KALLERED,SE;119;;
239;NETFLIX.COM,Amsterdam,NL;119;;
240;STORA COOP SISJÖN,ASKIM,SE; SOMERSET FIRE &amp; RESCUE SERVICE;117
241;BAUHAUS SISJON,VESTRA FROLUN,SE;116;;
242;O LEARYS GOTEBO,GOTEBORG,SE;116;;
243;O LEARYS GOTEBO,GOTEBORG,SE;115;;
244;O LEARYS GOTEBO,GOTEBORG,SE; SUPPORT;114;
245;CIRCLE K ASKIM,ASKIM,SE;114;;
246;STORA COOP SISJÖN,ASKIM,SE;113;;
247;Fredrik Moberg;109;;
248;Västtrafik AB,Goteborg,SE;109;;
249;Västtrafik AB,Goteborg,SE;109;;
250;Västtrafik AB,Goteborg,SE;109;;
251;Västtrafik AB,Goteborg,SE;108;;
252;Beställning The Hive;108;;
253;Fam moberg;107;;
254;Nota Harvest by Mannerström;107;;
255;Västtrafik AB,Goteborg,SE;106;;
256;JULA AB,ASKIM,SE;106;;
257;XXL SPORT &VILD,ASKIM,SE;106;;
258;Nota Harvest by Mannerström;105;;
259;CIRCLE K ASKIM,ASKIM,SE;105;;
260;GRENNAS BISTRO AB,GRENNA,SE;105;;
261;GRENNA KONFEKTYR,GRANNA,SE;104;;
